element_type,element_index,from_bus,to_bus,converged,n_unsupplied,max_loading_percent,n_overloaded,severity
line,0,265,269,True,7,12.856609746776579,0,335.0
line,1,270,271,True,0,12.855965475693147,0,0.0
line,2,270,267,True,0,12.85595932681754,0,0.0
line,3,270,267,True,0,12.85595932681754,0,0.0
line,4,272,266,True,0,12.855939773836297,0,0.0
line,5,272,266,True,0,12.855939773836297,0,0.0
line,6,266,273,True,5,12.855872271598844,0,325.0
line,7,273,275,True,3,12.855928093187257,0,315.0
line,8,271,267,True,0,12.85595416058189,0,0.0
line,9,267,290,True,5,12.85582757822773,0,325.0
line,10,290,268,True,4,12.855827578227737,0,320.0
line,11,272,298,True,1,12.8558914362488,0,305.0
line,12,0,4,True,0,12.889059873566522,0,0.0
line,13,1,5,True,0,12.8640196912326,0,0.0
line,14,1,7,True,0,12.872639420861946,0,0.0
line,15,2,6,True,0,12.869455983071681,0,0.0
line,16,2,17,True,0,12.856406796113228,0,0.0
line,17,2,128,True,0,12.979875767664407,0,0.0
line,18,3,15,True,0,12.90563696141008,0,0.0
line,19,4,8,True,0,12.852226177160425,0,0.0
line,20,6,11,True,0,12.876682570670708,0,0.0
line,21,6,109,True,0,12.941568391275768,0,0.0
line,22,7,10,True,0,12.856282000689804,0,0.0
line,23,7,13,True,0,12.888821002704356,0,0.0
line,24,8,10,True,0,12.857586126736118,0,0.0
line,25,10,12,True,0,12.857817150415185,0,0.0
line,26,11,19,True,0,12.852519574355862,0,0.0
line,27,12,18,True,0,12.857165103485885,0,0.0
line,28,13,14,True,0,12.865719070431863,0,0.0
line,29,14,30,True,0,12.85674942411024,0,0.0
line,30,14,73,True,0,12.856741761287719,0,0.0
line,31,14,74,True,0,12.856468980065728,0,0.0
line,32,15,35,True,0,12.898964026958298,0,0.0
line,33,17,19,True,0,12.854074657669093,0,0.0
line,34,17,71,True,0,12.871032277041031,0,0.0
line,35,18,20,True,0,12.856263890265307,0,0.0
line,36,18,25,True,0,12.855729109862965,0,0.0
line,37,19,22,True,0,12.858236771281572,0,0.0
line,38,20,21,True,0,12.857110997216544,0,0.0
line,39,21,23,False,0,,0,1000.0
line,40,22,230,True,1,12.863264518966053,0,305.0
line,41,23,24,True,0,12.85625630193449,0,0.0
line,42,24,25,True,0,12.856198984407689,0,0.0
line,43,24,231,True,1,12.85610936423646,0,305.0
line,44,26,31,True,0,12.855909925638805,0,0.0
line,45,26,33,True,0,12.855927609701304,0,0.0
line,46,26,34,True,0,12.856047255418446,0,0.0
line,47,27,35,True,0,12.856157600623385,0,0.0
line,48,28,59,True,0,12.855976009283898,0,0.0
line,49,28,62,True,0,12.855841869332698,0,0.0
line,50,28,63,True,0,12.855970805200123,0,0.0
line,51,29,72,True,0,12.855833469898734,0,0.0
line,52,30,31,True,0,12.856369448927962,0,0.0
line,53,30,33,True,0,12.856058453547451,0,0.0
line,54,30,34,True,0,12.85592723525495,0,0.0
line,55,30,42,True,0,12.859121338785615,0,0.0
line,56,30,73,True,0,12.85608008359264,0,0.0
line,57,30,74,True,0,12.856039942156642,0,0.0
line,58,31,34,True,0,12.856065460409177,0,0.0
line,59,31,36,True,0,12.856652883374203,0,0.0
line,60,32,35,True,2,12.87064167759889,0,310.0
line,61,33,41,True,0,12.855641972407225,0,0.0
line,62,34,42,True,0,12.85663974538581,0,0.0
line,63,34,43,True,0,12.855829553268801,0,0.0
line,64,35,39,True,0,12.894687856478168,0,0.0
line,65,36,37,True,0,12.856108586213363,0,0.0
line,66,36,41,True,0,12.85614056269263,0,0.0
line,67,36,45,True,0,12.856099687840603,0,0.0
line,68,37,40,True,0,12.855690434963416,0,0.0
line,69,37,46,True,0,12.855970374868752,0,0.0
line,70,38,51,True,0,12.847214090089743,0,0.0
line,71,38,61,True,0,12.856822605955873,0,0.0
line,72,39,67,True,0,12.864316742740261,0,0.0
line,73,40,60,True,0,12.856196143743306,0,0.0
line,74,40,91,True,0,12.855375028194956,0,0.0
line,75,41,86,True,0,12.856802206221667,0,0.0
line,76,42,43,True,0,12.857728697424415,0,0.0
line,77,43,44,True,0,12.85704551274044,0,0.0
line,78,44,47,True,0,12.856027603025908,0,0.0
line,79,45,46,True,0,12.8558997206771,0,0.0
line,80,46,47,True,0,12.855648573789926,0,0.0
line,81,47,48,True,0,12.854481752463586,0,0.0
line,82,48,49,True,0,12.855599950388207,0,0.0
line,83,48,54,True,0,12.856398192639162,0,0.0
line,84,49,50,True,0,12.855262020118818,0,0.0
line,85,50,52,False,0,,0,1000.0
line,86,51,53,True,0,12.846443988267911,0,0.0
line,87,53,55,False,0,,0,1000.0
line,88,53,122,True,0,12.847586298249848,0,0.0
line,89,54,235,True,1,12.851330438083869,0,305.0
line,90,56,189,True,0,12.855998101811764,0,0.0
line,91,56,65,True,0,12.855904943662011,0,0.0
line,92,57,58,True,2,12.85425126028936,0,310.0
line,93,57,236,True,1,12.855343821382172,0,305.0
line,94,58,59,True,0,12.856023921379448,0,0.0
line,95,58,60,True,0,12.855841618007227,0,0.0
line,96,59,63,True,0,12.85600206795797,0,0.0
line,97,59,237,True,1,12.85563875140089,0,305.0
line,98,60,62,True,0,12.856117470330188,0,0.0
line,99,60,65,True,0,12.856189437896473,0,0.0
line,100,61,72,True,0,12.856385675791138,0,0.0
line,101,61,239,True,1,12.855023652226333,0,305.0
line,102,62,63,True,0,12.855916839720546,0,0.0
line,103,63,64,True,0,12.856626543749043,0,0.0
line,104,63,66,True,0,12.855948066045835,0,0.0
line,105,63,238,True,1,12.856171205644362,0,305.0
line,106,63,240,True,1,12.855343373330813,0,305.0
line,107,64,65,True,0,12.856308034491384,0,0.0
line,108,64,68,True,1,12.8679842982698,0,305.0
line,109,65,189,True,0,12.855972441872787,0,0.0
line,110,66,189,True,0,12.856006073949672,0,0.0
line,111,67,172,True,0,12.857392555759256,0,0.0
line,112,67,173,True,0,12.85710139768642,0,0.0
line,113,69,70,True,0,12.85700149748159,0,0.0
line,114,70,71,True,0,12.858654588041777,0,0.0
line,115,70,233,True,1,12.855564165579327,0,305.0
line,116,73,75,True,0,12.857476720138852,0,0.0
line,117,74,76,True,0,12.857201794294614,0,0.0
line,118,75,77,True,0,12.857133755528894,0,0.0
line,119,75,78,True,0,12.857592532021647,0,0.0
line,120,76,83,True,0,12.855903437677426,0,0.0
line,121,76,85,True,0,12.856530169488279,0,0.0
line,122,77,78,True,0,12.85651703279442,0,0.0
line,123,78,81,True,0,12.85601757353471,0,0.0
line,124,78,82,True,0,12.85608028736586,0,0.0
line,125,78,83,True,0,12.855754799423124,0,0.0
line,126,79,81,True,0,12.855876615771908,0,0.0
line,127,79,82,True,0,12.855959279698546,0,0.0
line,128,80,86,True,0,12.855719627928904,0,0.0
line,129,80,87,True,0,12.856767579151912,0,0.0
line,130,80,88,True,0,12.856393685199198,0,0.0
line,131,80,89,True,0,12.856479153191987,0,0.0
line,132,81,82,True,0,12.856067536919289,0,0.0
line,133,82,84,True,0,12.856401487582092,0,0.0
line,134,83,85,True,0,12.856134185611335,0,0.0
line,135,84,87,True,0,12.856263905471629,0,0.0
line,136,84,232,True,1,12.855973710128996,0,305.0
line,137,85,86,True,0,12.856845468945256,0,0.0
line,138,85,89,True,0,12.85619678608898,0,0.0
line,139,87,234,True,1,12.856001787527468,0,305.0
line,140,88,89,True,0,12.856041050481604,0,0.0
