element_type,element_index,from_bus,to_bus,r_pu,x_pu,g,beta,x_was_negative
line,0,265,269,0.0008,0.0034799999999999996,62.74312962730583,272.9326138787803,False
line,1,270,271,0.05558000000000001,0.24666000000000005,0.8693844226458404,3.8582648738723098,False
line,2,270,267,0.11118000000000001,0.4933200000000001,0.4347628613072356,1.9290988913481337,False
line,3,270,267,0.11118000000000001,0.4933200000000001,0.4347628613072356,1.9290988913481337,False
line,4,272,266,0.07622000000000002,0.4328600000000001,0.39455988165232775,2.240739836946032,False
line,5,272,266,0.07622000000000002,0.4328600000000001,0.39455988165232775,2.240739836946032,False
line,6,266,273,0.05370000000000001,0.07026000000000002,6.866869281509107,8.984473663292922,False
line,7,273,275,1.1068000000000002,0.9527800000000002,0.5189432165095046,0.44672815127026183,False
line,8,271,267,0.0558,0.24666000000000005,0.8724912569339833,3.856786620704953,False
line,9,267,290,0.07378000000000001,0.06352000000000001,7.784113714823412,6.7016386983678915,False
line,10,290,268,0.03832000000000001,0.028940000000000007,16.61790865874569,12.550163793948338,False
line,11,272,298,0.23552000000000003,0.9903600000000002,0.22727391157585772,0.9556852541961042,False
line,12,0,4,0.001,0.006,27.027027027027028,162.16216216216216,False
line,13,1,5,0.001,0.009000000000000001,12.19512195121951,109.7560975609756,False
line,14,1,7,0.006,0.027,7.843137254901961,35.294117647058826,False
line,15,2,6,0.0,0.003,0.0,333.3333333333333,False
line,16,2,17,0.008,0.06899999999999999,1.6580310880829021,14.300518134715029,False
line,17,2,128,0.001,0.006999999999999999,20.000000000000004,140.00000000000003,False
line,18,3,15,0.002,0.019,5.479452054794521,52.054794520547944,False
line,19,4,8,0.006,0.028999999999999998,6.84150513112885,33.067274800456104,False
line,20,6,11,0.001,0.009000000000000001,12.19512195121951,109.7560975609756,False
line,21,6,109,0.001,0.006999999999999999,20.000000000000004,140.00000000000003,False
line,22,7,10,0.013,0.0595,3.5047516344274454,16.040978634494845,False
line,23,7,13,0.013,0.042,6.725297465080185,21.72788411795137,False
line,24,8,10,0.006,0.027,7.843137254901961,35.294117647058826,False
